Number of genes	97278
Number of genes in orthogroups	77417
Number of unassigned genes	19861
Percentage of genes in orthogroups	79.6
Percentage of unassigned genes	20.4
Number of orthogroups	10327
Number of species-specific orthogroups	107
Number of genes in species-specific orthogroups	474
Percentage of genes in species-specific orthogroups	0.5
Mean orthogroup size	7.5
Median orthogroup size	7.0
G50 (assigned genes)	9
G50 (all genes)	9
O50 (assigned genes)	2720
O50 (all genes)	3823
Number of orthogroups with all species present	2757
Number of single-copy orthogroups	1241
Date	2019-01-26
Orthogroups file	Orthogroups.csv
Unassigned genes file	Orthogroups_UnassignedGenes.csv
Per-species statistics	Statistics_PerSpecies.csv
Overall statistics	Statistics_Overall.csv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.csv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	6119	59.3	25309	32.7
'1	3767	36.5	39747	51.3
'2	303	2.9	6342	8.2
'3	68	0.7	2077	2.7
'4	29	0.3	1099	1.4
'5	15	0.1	736	1.0
'6	6	0.1	345	0.4
'7	8	0.1	537	0.7
'8	5	0.0	377	0.5
'9	4	0.0	344	0.4
'10	0	0.0	0	0.0
11-15	1	0.0	134	0.2
16-20	1	0.0	152	0.2
21-50	1	0.0	218	0.3
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	107
2	2587
3	1145
4	601
5	983
6	630
7	686
8	831
9	2757
